City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,mandalgovi,45.7625,106.2708,23.19,38,61,5.0,MN,1689613930
316,tinghir,31.5157,-5.5343,34.98,6,71,4.34,MA,1689613931
317,rikaze,29.25,88.8833,14.82,62,56,1.31,CN,1689613931
318,choibalsan,48.0667,114.5,22.3,39,14,5.29,MN,1689613931
319,wietze,52.65,9.8333,21.87,67,20,4.63,DE,1689613931
320,arraial do cabo,-22.9661,-42.0278,23.92,73,20,4.12,BR,1689613713
321,al burayqah,30.4062,19.5739,27.62,70,0,9.26,LY,1689613932
322,rawson,-43.3002,-65.1023,5.68,31,0,3.01,AR,1689613932
323,suva,-18.1416,178.4415,20.71,94,75,3.6,FJ,1689613932
324,hammerfest,70.6634,23.6821,15.25,82,75,5.14,NO,1689613933
325,san andres,12.5847,-81.7006,26.01,100,40,5.14,CO,1689613760
326,xiazhuang,34.9161,118.6389,22.75,96,19,3.25,CN,1689613933
327,lerwick,60.1545,-1.1494,12.0,81,96,7.87,GB,1689613933
328,touros,-5.1989,-35.4608,28.3,63,4,7.76,BR,1689613933
329,east ballina,-28.8667,153.5833,13.22,89,83,1.38,AU,1689613934
330,nurota,40.5614,65.6886,31.52,15,0,2.48,UZ,1689613393
331,progreso,21.2833,-89.6667,35.06,60,45,5.71,MX,1689613934
332,zima,53.9202,102.0442,15.07,87,81,3.28,RU,1689613934
333,mantua,45.1667,10.7833,35.34,54,0,1.69,IT,1689613934
334,hwange,-18.3693,26.5019,17.97,35,3,0.62,ZW,1689613935
335,zapala,-38.8992,-70.0544,0.98,67,88,3.13,AR,1689613935
336,san juan bautista,-14.0108,-75.7358,25.39,39,6,1.77,PE,1689613935
337,conduaga,8.862,117.4893,27.07,76,99,2.46,PH,1689613935
338,kavieng,-2.5744,150.7967,27.63,78,100,1.84,PG,1689613745
339,floro,61.5996,5.0328,13.04,88,75,7.2,NO,1689613936
340,codrington,-38.2667,141.9667,5.64,84,0,6.37,AU,1689613632
341,gaalkacyo,6.7697,47.4308,31.05,32,51,7.68,SO,1689613936
